Date,Price,Open,High,Low,Change %
Sep 04 2016,3.3281,3.2923,3.3506,3.2795,1.10%
Aug 28 2016,3.2920,3.3056,3.3277,3.2875,-0.47%
Aug 21 2016,3.3077,3.3116,3.3527,3.2972,-0.30%
Aug 14 2016,3.3178,3.3028,3.3371,3.2822,0.45%
Aug 07 2016,3.3030,3.3262,3.3319,3.2885,-0.64%
Jul 31 2016,3.3243,3.3436,3.3813,3.3186,-0.44%
Jul 24 2016,3.3391,3.3604,3.3775,3.3141,-0.74%
Jul 17 2016,3.3640,3.3363,3.4116,3.2340,0.94%
Jul 10 2016,3.3327,3.1966,3.3657,3.1881,4.27%
Jul 03 2016,3.1962,3.2353,3.2702,3.1876,-1.10%
Jun 26 2016,3.2316,3.2405,3.2570,3.1770,-0.76%
Jun 19 2016,3.2565,3.3072,3.3264,3.2186,-1.35%
Jun 12 2016,3.3009,3.2926,3.3211,3.2740,0.16%
Jun 05 2016,3.2955,3.2969,3.3152,3.2691,-0.12%
May 29 2016,3.2996,3.2862,3.3111,3.2739,0.38%
May 22 2016,3.2872,3.3397,3.3742,3.2654,-1.60%
May 15 2016,3.3405,3.3584,3.3836,3.3278,-0.54%
May 08 2016,3.3586,3.3375,3.3906,3.3188,0.60%
May 01 2016,3.3386,3.2000,3.4241,3.1966,4.25%
Apr 24 2016,3.2025,3.1994,3.2134,3.1773,0.07%
Apr 17 2016,3.2003,3.2217,3.2357,3.1740,-0.63%
Apr 10 2016,3.2207,3.2517,3.2588,3.2033,-0.85%
Apr 03 2016,3.2484,3.2156,3.2623,3.1914,1.08%
Mar 27 2016,3.2138,3.2047,3.2320,3.1955,0.07%
Mar 20 2016,3.2117,3.2321,3.2473,3.2008,-0.62%
Mar 13 2016,3.2318,3.1967,3.2512,3.1740,1.09%
Mar 06 2016,3.1970,3.1995,3.2569,3.1135,-0.10%
Feb 28 2016,3.2002,3.2720,3.2782,3.1678,-2.19%
Feb 21 2016,3.2720,3.2861,3.2912,3.2110,-0.44%
Feb 14 2016,3.2864,3.2978,3.3341,3.2733,-0.38%
Feb 07 2016,3.2988,3.2619,3.3455,3.2455,1.13%
Jan 31 2016,3.2620,3.2037,3.2738,3.1968,1.86%
Jan 24 2016,3.2025,3.2385,3.2998,3.1951,-1.25%
Jan 17 2016,3.2431,3.3283,3.3586,3.2388,-2.55%
Jan 10 2016,3.3279,3.3020,3.3546,3.2523,0.76%
Jan 03 2016,3.3028,3.1641,3.3032,3.1608,4.37%
Dec 27 2015,3.1645,3.2034,3.2105,3.1600,-1.37%
Dec 20 2015,3.2086,3.1617,3.2359,3.1546,1.50%
Dec 13 2015,3.1612,3.2689,3.3127,3.1418,-3.53%
Dec 06 2015,3.2768,3.1525,3.2887,3.1216,3.97%
Nov 29 2015,3.1517,3.0991,3.1789,3.0400,1.74%
Nov 22 2015,3.0979,3.0139,3.1195,3.0063,2.76%
Nov 15 2015,3.0147,3.0809,3.1020,3.0097,-2.34%
Nov 08 2015,3.0869,3.1269,3.1594,3.0625,-1.42%
Nov 01 2015,3.1313,3.2115,3.2218,3.0412,-2.40%
Oct 25 2015,3.2083,3.1700,3.2334,3.1677,0.14%
Oct 18 2015,3.2037,3.2864,3.3138,3.1702,-2.36%
Oct 11 2015,3.2811,3.3108,3.3782,3.2721,-0.79%
Oct 04 2015,3.3072,3.3538,3.3804,3.2579,-1.35%
Sep 27 2015,3.3523,3.4096,3.4594,3.3462,-1.71%
Sep 20 2015,3.4106,3.4017,3.4628,3.3337,0.39%
Sep 13 2015,3.3973,3.4564,3.4798,3.3620,-1.66%
Sep 06 2015,3.4546,3.3443,3.4630,3.3285,3.05%
Aug 30 2015,3.3523,3.2673,3.3670,3.2548,2.56%
Aug 23 2015,3.2687,3.3182,3.4747,3.2563,-1.67%
Aug 16 2015,3.3243,3.1507,3.3281,3.1391,5.67%
Aug 09 2015,3.1458,3.0492,3.1751,3.0385,3.16%
Aug 02 2015,3.0495,3.0364,3.0558,3.0187,0.15%
Jul 26 2015,3.0448,3.0120,3.0826,3.0043,1.25%
Jul 19 2015,3.0071,2.8739,3.0210,2.8733,4.69%
Jul 12 2015,2.8724,2.9647,2.9785,2.8706,-3.52%
Jul 05 2015,2.9773,2.9499,3.0032,2.9263,-0.36%
Jun 28 2015,2.9880,2.9417,3.0434,2.9193,0.42%
Jun 21 2015,2.9756,3.0625,3.0745,2.9668,-2.75%
Jun 14 2015,3.0596,3.0408,3.1157,3.0408,0.08%
Jun 07 2015,3.0572,2.9609,3.1296,2.9524,3.34%
May 31 2015,2.9583,2.9238,3.0762,2.9087,1.10%
May 24 2015,2.9261,2.8594,2.9296,2.8467,2.18%
May 17 2015,2.8636,2.9482,2.9592,2.8451,-2.93%
May 10 2015,2.9501,3.0112,3.0417,2.9264,-2.31%
May 03 2015,3.0200,3.0398,3.0918,2.9973,-0.44%
Apr 26 2015,3.0332,2.9510,3.0381,2.9045,2.76%
Apr 19 2015,2.9516,2.9076,2.9769,2.8672,1.98%
Apr 12 2015,2.8943,2.7803,2.9111,2.7775,3.83%
Apr 05 2015,2.7875,2.8239,2.8360,2.7770,-1.27%
Mar 29 2015,2.8234,2.8432,2.8481,2.7824,-0.66%
Mar 22 2015,2.8421,2.7888,2.8763,2.7733,2.07%
Mar 15 2015,2.7845,2.7696,2.8219,2.7439,0.51%
Mar 08 2015,2.7704,2.8468,2.8586,2.7367,-2.66%
Mar 01 2015,2.8460,2.8066,2.8958,2.7976,1.33%
Feb 22 2015,2.8087,2.7933,2.8380,2.7841,0.63%
Feb 15 2015,2.7912,2.7985,2.8141,2.7702,-0.27%
Feb 08 2015,2.7987,2.7979,2.8432,2.7916,-0.03%
Feb 01 2015,2.7994,2.7597,2.8174,2.7261,1.37%
Jan 25 2015,2.7616,2.6267,2.7725,2.6065,4.93%
Jan 18 2015,2.6319,2.6837,2.7458,2.6044,-2.07%
Jan 11 2015,2.6875,2.7183,2.7259,2.6566,-1.11%
Jan 04 2015,2.7176,2.8148,2.8159,2.6904,-3.41%
Dec 28 2014,2.8136,2.8211,2.8592,2.8093,-0.29%
Dec 21 2014,2.8219,2.8309,2.8450,2.8175,-0.19%
Dec 14 2014,2.8274,2.8649,3.0257,2.8215,-1.31%
Dec 07 2014,2.8650,2.7757,2.8787,2.7714,3.14%
Nov 30 2014,2.7778,2.7675,2.7856,2.7481,0.50%
Nov 23 2014,2.7639,2.7489,2.7824,2.7456,0.40%
Nov 16 2014,2.7530,2.7927,2.8140,2.7469,-1.41%
Nov 09 2014,2.7923,2.8102,2.8232,2.7778,-0.71%
Nov 02 2014,2.8122,2.7804,2.8300,2.7729,0.96%
Oct 26 2014,2.7854,2.8314,2.8470,2.7536,-1.48%
Oct 19 2014,2.8272,2.8655,2.8845,2.8209,-1.37%
Oct 12 2014,2.8664,2.8876,2.9245,2.8632,-0.81%
Oct 05 2014,2.8897,2.8689,2.9068,2.8531,0.63%
Sep 28 2014,2.8716,2.8710,2.9093,2.8613,0.07%
Sep 21 2014,2.8696,2.8665,2.8888,2.8494,0.09%
Sep 14 2014,2.8669,2.8839,2.8850,2.8501,-0.53%
Sep 07 2014,2.8821,2.7944,2.8827,2.7891,3.08%
Aug 31 2014,2.7961,2.8396,2.8609,2.7883,-1.61%
Aug 24 2014,2.8418,2.8758,2.8815,2.8306,-1.36%
Aug 17 2014,2.8811,2.9019,2.9122,2.8716,-0.78%
Aug 10 2014,2.9037,2.8742,2.9196,2.8578,0.94%
Aug 03 2014,2.8767,2.8619,2.9303,2.8418,0.40%
Jul 27 2014,2.8653,2.8079,2.8843,2.8077,1.88%
Jul 20 2014,2.8125,2.8727,2.8828,2.8066,-2.12%
Jul 13 2014,2.8735,2.8796,2.8992,2.8613,-0.28%
Jul 06 2014,2.8817,2.8960,2.9064,2.8782,-0.62%
Jun 29 2014,2.8998,2.9003,2.9196,2.8876,0.08%
Jun 22 2014,2.8974,2.9075,2.9219,2.8856,-0.47%
Jun 15 2014,2.9110,2.8771,2.9253,2.8748,1.24%
Jun 08 2014,2.8754,2.8340,2.8893,2.8114,1.43%
Jun 01 2014,2.8350,2.8579,2.8986,2.8266,-0.83%
May 25 2014,2.8586,2.8344,2.8803,2.8325,0.71%
May 18 2014,2.8384,2.8721,2.9059,2.8316,-1.29%
May 11 2014,2.8756,2.8530,2.8891,2.8233,0.61%
May 04 2014,2.8582,2.9171,2.9240,2.8535,-2.05%
Apr 27 2014,2.9181,2.9535,2.9729,2.8956,-1.15%
Apr 20 2014,2.9520,2.9345,2.9808,2.9312,0.34%
Apr 13 2014,2.9420,2.9298,2.9705,2.9246,0.28%
Apr 06 2014,2.9337,2.8906,2.9571,2.8750,1.29%
Mar 30 2014,2.8962,3.0158,3.0162,2.8822,-3.88%
Mar 23 2014,3.0132,3.0814,3.1081,2.9941,-2.19%
Mar 16 2014,3.0808,3.0774,3.1054,3.0606,0.05%
Mar 09 2014,3.0793,3.0598,3.1319,3.0593,0.60%
Mar 02 2014,3.0608,3.0348,3.0789,3.0127,0.37%
Feb 23 2014,3.0494,2.9943,3.0805,2.9771,1.87%
Feb 16 2014,2.9935,2.9866,3.0549,2.9778,0.24%
Feb 09 2014,2.9864,3.0328,3.0550,2.9620,-1.34%
Feb 02 2014,3.0269,3.0473,3.0968,2.9783,-0.72%
Jan 26 2014,3.0490,3.1859,3.2750,2.9529,-4.38%
Jan 19 2014,3.1888,3.0238,3.2115,3.0145,5.52%
Jan 12 2014,3.0221,2.9627,3.0253,2.9573,2.12%
Jan 05 2014,2.9594,2.9594,2.9882,2.9346,-0.03%
Dec 29 2013,2.9602,2.9566,2.9985,2.9118,0.13%
Dec 22 2013,2.9563,2.8588,3.0197,2.8185,3.37%
Dec 15 2013,2.8598,2.8089,2.8718,2.7841,1.99%
Dec 08 2013,2.8041,2.7795,2.8232,2.7717,1.03%
Dec 01 2013,2.7755,2.7424,2.8077,2.7422,1.11%
Nov 24 2013,2.7450,2.7194,2.7584,2.6924,0.94%
Nov 17 2013,2.7195,2.7399,2.7441,2.6908,-0.70%
Nov 10 2013,2.7387,2.7243,2.7681,2.7175,0.45%
Nov 03 2013,2.7264,2.7184,2.7597,2.6965,0.22%
Oct 27 2013,2.7205,2.7388,2.7517,2.7010,-0.65%
Oct 20 2013,2.7382,2.6932,2.7509,2.6887,1.63%
Oct 13 2013,2.6942,2.6843,2.7094,2.6625,0.36%
Oct 06 2013,2.6845,2.6947,2.7226,2.6662,-0.36%
Sep 29 2013,2.6942,2.7395,2.7626,2.6913,-1.89%
Sep 22 2013,2.7462,2.6801,2.7628,2.6690,2.56%
Sep 15 2013,2.6776,2.6968,2.7089,2.6165,-0.69%
Sep 08 2013,2.6961,2.6942,2.7092,2.6568,-0.04%
Sep 01 2013,2.6972,2.7012,2.7536,2.6549,-0.02%
Aug 25 2013,2.6978,2.6599,2.7694,2.6559,1.41%
Aug 18 2013,2.6604,2.5939,2.6787,2.5792,2.63%
Aug 11 2013,2.5921,2.5647,2.5955,2.5448,1.16%
Aug 04 2013,2.5625,2.5528,2.5779,2.5495,0.20%
Jul 28 2013,2.5575,2.5575,2.5856,2.5356,0.00%
Jul 21 2013,2.5575,2.5204,2.5638,2.5071,1.46%
Jul 14 2013,2.5208,2.5543,2.5565,2.4994,-1.21%
Jul 07 2013,2.5516,2.5240,2.5686,2.4756,1.03%
Jun 30 2013,2.5257,2.5082,2.5501,2.4994,0.65%
Jun 23 2013,2.5094,2.5381,2.5692,2.4985,-1.37%
Jun 16 2013,2.5443,2.4780,2.5788,2.4771,2.54%
Jun 09 2013,2.4813,2.4724,2.5354,2.4634,0.19%
Jun 02 2013,2.4766,2.4143,2.5227,2.4143,1.58%
May 26 2013,2.4381,2.3866,2.4636,2.3777,2.11%
May 19 2013,2.3878,2.3577,2.3979,2.3571,0.96%
May 12 2013,2.3651,2.3321,2.3748,2.3306,1.07%
May 05 2013,2.3401,2.3536,2.3672,2.3322,-0.56%
Apr 28 2013,2.3532,2.3414,2.3731,2.3375,0.49%
Apr 21 2013,2.3418,2.3577,2.3645,2.3359,-0.31%
Apr 14 2013,2.3491,2.3442,2.3662,2.3350,0.22%
Apr 07 2013,2.3440,2.3310,2.3526,2.3179,0.60%
Mar 31 2013,2.3300,2.3165,2.3470,2.3041,0.47%
Mar 24 2013,2.3192,2.3556,2.3685,2.3129,-1.59%
Mar 17 2013,2.3567,2.3367,2.3657,2.3325,-0.24%
Mar 10 2013,2.3624,2.3440,2.3714,2.3355,0.71%
Mar 03 2013,2.3458,2.3378,2.3582,2.3267,0.23%
Feb 24 2013,2.3405,2.3722,2.3925,2.3318,-1.49%
Feb 17 2013,2.3760,2.3572,2.3878,2.3510,0.64%
Feb 10 2013,2.3610,2.3603,2.3896,2.3492,-0.27%
Feb 03 2013,2.3675,2.3856,2.4047,2.3602,-0.74%
Jan 27 2013,2.3851,2.3751,2.4091,2.3662,0.28%
Jan 20 2013,2.3784,2.3400,2.3841,2.3368,1.48%
Jan 13 2013,2.3438,2.3632,2.3740,2.3359,-0.74%
Jan 06 2013,2.3613,2.3289,2.3716,2.3112,1.38%
Dec 30 2012,2.3291,2.3626,2.3707,2.3196,-1.56%
Dec 23 2012,2.3659,2.3656,2.3843,2.3517,-0.18%
Dec 16 2012,2.3701,2.3408,2.3774,2.3338,1.23%
Dec 09 2012,2.3412,2.3017,2.3438,2.2993,1.27%
Dec 02 2012,2.3119,2.3174,2.3443,2.3026,-0.54%
Nov 25 2012,2.3245,2.3249,2.3370,2.3051,-0.15%
Nov 18 2012,2.3279,2.2939,2.3323,2.2864,1.49%
Nov 11 2012,2.2938,2.2763,2.3051,2.2670,0.73%
Nov 04 2012,2.2771,2.2968,2.3070,2.2624,-1.04%
Oct 28 2012,2.3011,2.3287,2.3382,2.2919,-1.28%
Oct 21 2012,2.3309,2.3351,2.3500,2.3204,-0.30%
Oct 14 2012,2.3380,2.3403,2.3699,2.3286,-0.12%
Oct 07 2012,2.3407,2.3529,2.3575,2.3247,-0.51%
Sep 30 2012,2.3528,2.3077,2.3579,2.2979,1.87%
Sep 23 2012,2.3095,2.3269,2.3337,2.2945,-0.82%
Sep 16 2012,2.3287,2.3522,2.3679,2.3220,-1.28%
Sep 09 2012,2.3588,2.3045,2.3639,2.2922,2.41%
Sep 02 2012,2.3034,2.2840,2.3078,2.2759,0.68%
Aug 26 2012,2.2878,2.2481,2.2981,2.2410,1.66%
Aug 19 2012,2.2504,2.2247,2.2611,2.2112,1.32%
Aug 12 2012,2.2210,2.1913,2.2319,2.1862,1.39%
Aug 05 2012,2.1905,2.2062,2.2209,2.1819,-0.63%
Jul 29 2012,2.2043,2.2265,2.2341,2.1725,-1.28%
Jul 22 2012,2.2329,2.1953,2.2458,2.1914,1.58%
Jul 15 2012,2.1982,2.2180,2.2305,2.1905,-0.95%
Jul 08 2012,2.2192,2.2329,2.2538,2.2060,-0.72%
Jul 01 2012,2.2352,2.2874,2.2934,2.2246,-2.44%
Jun 24 2012,2.2911,2.2756,2.3067,2.2512,0.43%
