"Date","Price","Open","High","Low","Change %"
"Oct 22, 2017","4.9740","4.8410","5.0545","4.8373","2.72%"
"Oct 15, 2017","4.8422","4.8312","4.8620","4.7825","0.26%"
"Oct 08, 2017","4.8295","4.7227","4.9333","4.7180","2.25%"
"Oct 01, 2017","4.7230","4.7713","4.7851","4.6795","-1.07%"
"Sep 24, 2017","4.7743","4.7173","4.8100","4.7060","1.20%"
"Sep 17, 2017","4.7175","4.6647","4.7656","4.6577","0.96%"
"Sep 10, 2017","4.6727","4.5042","4.6882","4.4699","3.77%"
"Sep 03, 2017","4.5030","4.4408","4.5237","4.4225","1.42%"
"Aug 27, 2017","4.4399","4.4427","4.4775","4.4227","0.17%"
"Aug 20, 2017","4.4322","4.5188","4.5351","4.4196","-2.17%"
"Aug 13, 2017","4.5305","4.6002","4.6040","4.5075","-1.56%"
"Aug 06, 2017","4.6022","4.6004","4.6183","4.5678","0.07%"
"Jul 30, 2017","4.5992","4.6341","4.7035","4.5935","-0.76%"
"Jul 23, 2017","4.6342","4.5977","4.6643","4.5842","0.84%"
"Jul 16, 2017","4.5957","4.6317","4.6458","4.5626","-0.81%"
"Jul 09, 2017","4.6334","4.6612","4.7017","4.5892","-0.67%"
"Jul 02, 2017","4.6646","4.5818","4.7270","4.5622","1.69%"
"Jun 25, 2017","4.5871","4.4661","4.6011","4.4411","2.79%"
"Jun 18, 2017","4.4625","4.4784","4.5013","4.4399","-0.29%"
"Jun 11, 2017","4.4753","4.5025","4.5176","4.4365","-0.73%"
"Jun 04, 2017","4.5083","4.5156","4.6118","4.4558","-0.32%"
"May 28, 2017","4.5229","4.5833","4.6039","4.5110","-1.26%"
"May 21, 2017","4.5808","4.6557","4.6771","4.5639","-1.71%"
"May 14, 2017","4.6605","4.6020","4.7476","4.5649","1.22%"
"May 07, 2017","4.6043","4.6009","4.6989","4.5732","0.08%"
"Apr 30, 2017","4.6006","4.6009","4.6252","4.5323","0.02%"
"Apr 23, 2017","4.5995","4.6772","4.6819","4.5610","-1.38%"
"Apr 16, 2017","4.6640","4.5587","4.7317","4.5439","-0.23%"
"Apr 09, 2017","4.6748","4.6178","4.6829","4.5689","1.26%"
"Apr 02, 2017","4.6168","4.5592","4.6696","4.5187","1.16%"
"Mar 26, 2017","4.5638","4.5079","4.5721","4.4961","1.33%"
